topic,sentiment_compound,sentiment_positive,sentiment_negative,word_count
athleticism,0.05889708942394436,0.1953109345837477,0.13641384515980337,68.75
creativity,0.09802691531622601,0.1862559027750459,0.0882289874588199,62.5
intelligence,0.1720876905967175,0.20012598241948615,0.028038291822768638,61.0
leadership,0.18287566696724566,0.23031789866914532,0.047442231701899665,67.75
nurturing,0.1853092928185584,0.2351689799854847,0.04985968716692629,64.5
technical skills,0.30757072176525796,0.30757072176525796,0.0,70.0
trustworthiness,0.2221811787788016,0.2726605553107364,0.0504793765319348,59.75
